krop_id,image,cx,cy,area_px,area_cm2,weight_g,weight_class,lat,lon
1,orthomosaic_000.png,104.65,484.55,4100.44,256.28,249.02,light,51.2500035,5.9500038
2,orthomosaic_000.png,158.89,201.57,10810.93,675.68,564.49,heavy,51.2500098,5.9500057
3,orthomosaic_000.png,359.34,105.39,2902.4,181.4,178.19,light,51.250012,5.9500129
4,orthomosaic_000.png,211.77,373.57,5859.3,366.21,334.09,light,51.250006,5.9500076
5,orthomosaic_000.png,131.18,451.95,4351.43,271.96,260.06,light,51.2500042,5.9500047
6,orthomosaic_000.png,430.18,193.54,3637.02,227.31,219.05,light,51.25001,5.9500154
7,orthomosaic_000.png,243.81,531.64,3164.51,197.78,193.24,light,51.2500024,5.9500087
8,orthomosaic_000.png,373.11,266.45,10398.67,649.92,547.38,heavy,51.2500084,5.9500134
9,orthomosaic_000.png,414.67,497.65,8503.96,531.5,462.11,medium,51.2500032,5.9500149
10,orthomosaic_000.png,103.84,453.04,2775.58,173.47,168.66,light,51.2500042,5.9500037
11,orthomosaic_000.png,373.15,550.35,11237.67,702.35,588.0,heavy,51.250002,5.9500134
12,orthomosaic_000.png,333.17,336.67,13203.33,825.21,673.12,heavy,51.2500068,5.950012
13,orthomosaic_000.png,126.92,93.38,6475.47,404.72,364.18,medium,51.2500123,5.9500046
14,orthomosaic_000.png,151.95,469.61,5040.14,315.01,290.1,light,51.2500038,5.9500055
15,orthomosaic_000.png,230.22,585.47,7577.19,473.57,417.85,medium,51.2500012,5.9500083
16,orthomosaic_000.png,524.72,257.13,4302.74,268.92,255.78,light,51.2500086,5.9500188
17,orthomosaic_000.png,170.59,524.46,3778.48,236.15,225.31,light,51.2500026,5.9500061
18,orthomosaic_000.png,309.46,52.48,3412.6,213.29,204.24,light,51.2500132,5.9500111
19,orthomosaic_000.png,359.4,170.22,3610.75,225.67,218.43,light,51.2500106,5.9500129
20,orthomosaic_000.png,201.84,547.17,12084.88,755.31,624.86,heavy,51.2500021,5.9500072
21,orthomosaic_000.png,289.68,251.24,5952.65,372.04,341.64,light,51.2500087,5.9500104
22,orthomosaic_000.png,127.85,304.56,8203.13,512.7,445.62,medium,51.2500075,5.9500046
23,orthomosaic_000.png,481.53,463.19,4941.95,308.87,287.59,light,51.250004,5.9500173
24,orthomosaic_000.png,71.25,525.01,6861.14,428.82,383.91,medium,51.2500026,5.9500026
25,orthomosaic_000.png,482.07,241.38,5423.21,338.95,308.83,light,51.250009,5.9500173
26,orthomosaic_000.png,347.66,62.98,3458.47,216.15,210.3,light,51.250013,5.9500125
27,orthomosaic_000.png,262.02,528.76,2551.0,159.44,157.81,light,51.2500025,5.9500094
28,orthomosaic_000.png,422.49,347.94,9212.42,575.78,492.79,medium,51.2500066,5.9500152
29,orthomosaic_000.png,218.88,229.83,8339.31,521.21,452.39,medium,51.2500092,5.9500079
30,orthomosaic_000.png,219.07,97.08,7218.13,451.13,399.5,medium,51.2500122,5.9500079
31,orthomosaic_001.png,91.3,222.76,12805.54,800.35,656.62,heavy,51.2500094,5.9504338
32,orthomosaic_001.png,200.47,309.42,4977.86,311.12,291.08,light,51.2500074,5.9504377
33,orthomosaic_001.png,437.03,341.47,4156.81,259.8,249.93,light,51.2500067,5.9504462
34,orthomosaic_001.png,56.28,423.14,10503.51,656.47,551.26,heavy,51.2500049,5.9504326
35,orthomosaic_001.png,348.98,254.59,4536.51,283.53,266.64,light,51.2500087,5.9504431
36,orthomosaic_001.png,473.27,419.53,10189.45,636.84,536.78,heavy,51.250005,5.9504475
37,orthomosaic_001.png,115.7,64.63,4509.09,281.82,271.06,light,51.2500129,5.9504347
38,orthomosaic_001.png,404.15,185.92,6305.24,394.08,357.02,medium,51.2500102,5.9504451
39,orthomosaic_001.png,200.96,342.48,4193.39,262.09,250.85,light,51.2500067,5.9504378
40,orthomosaic_001.png,112.53,385.45,4112.72,257.05,246.79,light,51.2500057,5.9504346
41,orthomosaic_001.png,245.14,103.08,13334.3,833.39,678.14,heavy,51.2500121,5.9504393
42,orthomosaic_001.png,209.18,222.34,5037.19,314.82,288.93,light,51.2500094,5.9504381
43,orthomosaic_001.png,574.58,408.58,3477.82,217.36,209.46,light,51.2500052,5.9504512
44,orthomosaic_001.png,267.24,422.5,3486.65,217.92,209.97,light,51.2500049,5.9504401
45,orthomosaic_001.png,542.18,380.11,3858.05,241.13,233.76,light,51.2500058,5.95045
46,orthomosaic_001.png,542.64,163.94,12656.19,791.01,647.61,heavy,51.2500107,5.95045
47,orthomosaic_001.png,306.46,391.43,2710.35,169.4,163.32,light,51.2500056,5.9504415
48,orthomosaic_001.png,257.58,443.63,3862.29,241.39,230.69,light,51.2500044,5.9504398
49,orthomosaic_001.png,448.19,330.02,6489.09,405.57,368.23,medium,51.250007,5.9504466
50,orthomosaic_001.png,90.12,458.17,5535.18,345.95,313.62,light,51.2500041,5.9504338
51,orthomosaic_001.png,103.15,188.57,6463.4,403.96,362.49,medium,51.2500101,5.9504343
52,orthomosaic_001.png,411.07,548.38,3985.43,249.09,236.5,light,51.2500021,5.9504453
53,orthomosaic_001.png,311.87,284.71,12950.0,809.38,663.32,heavy,51.250008,5.9504417
54,orthomosaic_001.png,572.0,63.57,7631.25,476.95,419.41,medium,51.2500129,5.9504511
55,orthomosaic_001.png,170.53,206.97,6447.39,402.96,365.83,medium,51.2500097,5.9504367
56,orthomosaic_001.png,272.19,398.7,4853.83,303.36,282.71,light,51.2500054,5.9504403
57,orthomosaic_001.png,497.82,386.77,13624.26,851.52,693.44,heavy,51.2500057,5.9504484
58,orthomosaic_001.png,536.11,513.12,6036.27,377.27,346.47,light,51.2500028,5.9504498
59,orthomosaic_001.png,543.99,163.64,5569.83,348.11,319.99,light,51.2500107,5.9504501
60,orthomosaic_001.png,400.47,161.47,8952.98,559.56,483.68,medium,51.2500107,5.9504449
61,orthomosaic_002.png,583.4,410.94,3175.17,198.45,197.12,light,51.2500051,5.950882
62,orthomosaic_002.png,157.73,548.86,5336.44,333.53,299.81,light,51.250002,5.9508668
63,orthomosaic_002.png,395.12,397.31,3836.95,239.81,224.93,light,51.2500055,5.9508753
64,orthomosaic_002.png,600.37,538.28,4095.57,255.97,241.62,light,51.2500023,5.9508826
65,orthomosaic_002.png,385.36,240.85,2711.07,169.44,167.72,light,51.250009,5.9508749
66,orthomosaic_002.png,320.1,388.7,13400.26,837.52,679.35,heavy,51.2500056,5.9508726
67,orthomosaic_002.png,74.25,171.24,8641.03,540.06,468.7,medium,51.2500105,5.9508638
68,orthomosaic_002.png,423.78,246.44,5773.05,360.82,328.52,light,51.2500088,5.9508763
